fareBasisCode,segment_1AirlineName
HNR,Spirit Airlines
V0AIZNN1,American Airlines
V0AIZNN1,American Airlines
V0AIZNN1,American Airlines
V0AIZNN1,American Airlines
V0AIZNN1,American Airlines
V0AIZNN1,American Airlines
V0AIZNN1,American Airlines
V0AIZNN1,American Airlines
V0AIZNN1,American Airlines
B0AIZNN1,JetBlue Airways
V0AIZNN1,American Airlines
V0AIZNN1,American Airlines
V0AIZNN1,American Airlines
V0AIZNN1,American Airlines
V0AIZNN1,American Airlines
V0AIZNN1,American Airlines
V0AIZNN1,American Airlines
VAA0AHEN,United
VAA0AHEN,United
VAA0AHEN,United
VAA0AHEN,United
VAA0AHEN,United
VAA0AHEN,United
VAA0AHEN,United
VAA0AHEN,United
VAA0AHEN,United
HNR,Spirit Airlines
V0AHZNN1,American Airlines
L0AJZNN1,American Airlines
L0AJZNN1,American Airlines
L0AJZNN1,American Airlines
L0AJZNN1,American Airlines
L0AJZNN1,American Airlines
QAA0OHEN,United
RH0AUEL1,JetBlue Airways
RH0AUEL1,JetBlue Airways
SAA0PHEN,United
SAA0PHEN,United
LA0NX0MC,Delta
LA0NX0MQ,Delta
KA0NX0MQ,Delta
KA0NX0MQ,Delta
KA0NX0MQ,Delta
KA0NX0MQ,Delta
KA0NX0MQ,Delta
UA0NX0MC,Delta
HAA0OHEN,United
HH0KUEL1,JetBlue Airways
HH0KUEL1,JetBlue Airways
HA0QA0MQ,Delta
HA0QA0MQ,Delta
HA0QA0MQ,Delta
HA0QA0MQ,Delta
HA0QA0MQ,Delta
HA0QA0MQ,Delta
HA0QA0MQ,Delta
HA0QA0MQ,Delta
HA0QA0MQ,Delta
HA0QA0MQ,Delta
HA0QA0MQ,Delta
KA0OX0MQ,Delta
KA0OX0MC,Delta
YH0KUEY5,American Airlines
YH0KUEY5,American Airlines
G0BJZSN1,American Airlines
V0AHZNN1,American Airlines
LA0NX0MC,Delta
V0AHZNN1,American Airlines
V0AHZNN1,American Airlines
V0AHZNN1,American Airlines
V0AHZNN1,American Airlines
V0AHZNN1,American Airlines
V0AHZNN1,American Airlines
V0AHZNN1,American Airlines
V0AHZNN1,American Airlines
MA0QA0MQ,Delta
M0AHZNN1,American Airlines
MA0QA0MQ,Delta
MA0QA0MQ,Delta
MA0QA0MQ,Delta
M0AHZNN1,American Airlines
MA0QA0MQ,Delta
M0AHZNN1,American Airlines
M0AHZNN1,American Airlines
M0AHZNN1,American Airlines
MA0QA0MQ,Delta
M0AHZNN1,American Airlines
M0AHZNN1,American Airlines
M0AHZNN1,American Airlines
M0AHZNN1,American Airlines
M0AHZNN1,American Airlines
VAA0AKEN,United
BA0NA0MQ,Delta
HAA0OKEN,United
KA0OX0MQ,Delta
S0AJZSN3,American Airlines
HH0KUEL1,JetBlue Airways
KA0OX0MC,Delta
HH0KUEL1,JetBlue Airways
QAA0OKEN,United
VAA0AKEN,United
SAA0PHEN,United
WAA0OHEN,United
J0FN,Delta
VAA0JKEN,United
VAA0AHEN,United
VAA0AHEN,United
HAA0OKEN,United
QAA0OHEN,United
EAA0OKEN,United
JA2AA,American Airlines
KNR,Spirit Airlines
VAA0AKEN,United
VAA0AKEN,United
L0AHZNN1,American Airlines
